,MAE,RMSE,R2
LinearRegression,7.49274163539341,18.677515286990424,0.976320048601656
RandomForest,8.846222130614656,19.72203746505294,0.9735974323198486
XGBoost,8.491075330888695,18.368845534403935,0.9770962639604382
LightGBM,8.992796608265957,23.679081703769835,0.9619396903137073
